Player,School,POS,CMP,ATT,CMP%,YDS,AVG,LNG,TD,INT,SACK,RTG
Hunter Herring,ULM,['QB'],['16'],['30'],['53.3'],['121'],['4.0'],['28'],['1'],['0'],['1'],['98.2']
Landry Lyddy,UAB,['QB'],['14'],['22'],['63.6'],['121'],['5.5'],['29'],['1'],['3'],['3'],['97.6']
Haden Carlson,FIU,['QB'],['6'],['9'],['66.7'],['116'],['12.9'],['33'],['0'],['0'],['3'],['174.9']
Grayson Loftis,DUKE,['QB'],['10'],['24'],['41.7'],['116'],['4.8'],['29'],['1'],['1'],['2'],['87.7']
Sam Leavitt,MSU,['QB'],['14'],['21'],['66.7'],['114'],['5.4'],['29'],['1'],['2'],['2'],['108.9']
Clay Millen,CSU,['QB'],['15'],['24'],['62.5'],['110'],['4.6'],['16'],['0'],['1'],['1'],['92.7']
RJ Martinez,BAY,['QB'],['12'],['23'],['52.2'],['110'],['4.8'],['29'],['0'],['0'],['0'],['92.4']
Grant Gunnell,SHSU,['QB'],['14'],['22'],['63.6'],['100'],['4.5'],['26'],['0'],['1'],['2'],['92.7']
Ike Udengwu III,EMU,['QB'],['13'],['28'],['46.4'],['100'],['3.6'],['17'],['0'],['2'],['2'],['62.1']
Eli Stowers,NMSU,['QB'],['4'],['8'],['50.0'],['99'],['12.4'],['63'],['1'],['0'],['0'],['195.2']
Emmett Morehead,BC,['QB'],['12'],['23'],['52.2'],['96'],['4.2'],['16'],['0'],['0'],['0'],['87.2']
Braxton Woodson,NAVY,['QB'],['8'],['22'],['36.4'],['92'],['4.2'],['69'],['1'],['0'],['6'],['86.5']
Jacob Conover,ASU,['QB'],['6'],['16'],['37.5'],['89'],['5.6'],['31'],['0'],['2'],['2'],['59.2']
LaNorris Sellers,SC,['QB'],['4'],['4'],['100.0'],['86'],['21.5'],['50'],['2'],['0'],['0'],['445.6']
Ryan Hilinski,NU,['QB'],['1'],['1'],['100.0'],['85'],['85.0'],['85'],['1'],['0'],['0'],"['1,144.0']"
