Player,School,POS,REC,YDS,AVG,LNG,TD
BillyKempIV,NEB,'WR','21','216','10.3','34','1'
AndrewErickson,UNM,'WR','16','216','13.5','52','1'
TylerWarren,PSU,'TE','23','216','9.4','21','6'
JordanBrown,TTU,'WR','16','216','13.5','46','1'
FredFarrierII,UAB,'WR','15','216','14.4','67','0'
DeMarcusHarris,MRSH,'WR','17','215','12.6','36','1'
CadeConley,MRSH,'TE','23','215','9.3','27','1'
IsmailMahdi,TXST,'RB','11','215','19.5','89','1'
A.J.Henning,NU,'WR','29','214','7.4','34','2'
DaejonReynolds,PITT,'WR','20','214','10.7','31','0'
LeroyThomas,WMU,'WR','23','214','9.3','28','1'
O'MegaBlake,SC,'WR','16','214','13.4','41','1'
JayceBrown,KSU,'WR','12','214','17.8','43','2'
CoyEakin,TTU,'WR','18','213','11.8','43','1'
JonathonBrooks,TEX,'RB','22','212','9.6','37','1'
ParkerKingston,BYU,'WR','18','211','11.7','42','1'
ChrisBellamy,NMSU,'WR','14','210','15.0','52','1'
DeeWiggins,CIN,'WR','16','209','13.1','39','1'
DinoTomlin,BC,'WR','16','209','13.1','52','0'
T.J.Jones,UAB,'WR','12','208','17.3','72','2'
SeanBrown,JVST,'TE','16','208','13.0','31','5'
DanielJackson,ISU,'WR','12','208','17.3','39','2'
MasonTaylor,LSU,'TE','23','208','9.0','22','1'
KobePrentice,ALA,'WR','12','208','17.3','79','1'
DaltonCarnes,HOU,'WR','16','208','13.0','41','1'
TauskieDove,MEM,'WR','12','207','17.3','54','1'
NealJohnson,UL,'TE','20','207','10.4','32','2'
AhmariHuggins-Bruce,LOU,'WR','14','207','14.8','55','2'
DarvonHubbard,TEM,'RB','20','205','10.3','37','0'
BoobieCurry,BUFF,'WR','22','204','9.3','29','1'
MolikiMatavao,UCLA,'TE','8','203','25.4','35','2'
YulkeithBrown,TULN,'WR','20','203','10.1','34','1'
JosephHimonII,NU,'RB','12','203','16.9','85','1'
RandyPittman,UCF,'TE','16','203','12.7','39','1'
DaltonStroman,APP,'WR','12','202','16.8','43','2'
Dae'QuanWright,VT,'TE','17','202','11.9','33','0'
JjayMcafee,GASO,'TE','23','202','8.8','32','2'
BentleyHanshaw,LIB,'TE','16','201','12.6','24','5'
OscarCardenas,UTSA,'TE','22','201','9.1','28','1'
MaliqCarr,MSU,'TE','19','201','10.6','22','1'
EJHorton,WVU,'WR','10','201','20.1','45','1'
MelquanStovall,ASU,'WR','14','200','14.3','34','0'
DevinNeal,KU,'RB','21','200','9.5','59','1'
BryceKennon,CLT,'TE','15','200','13.3','36','1'
JaylonJackson,EMU,'RB','18','200','11.1','68','1'
StephonJohnson,HOU,'WR','17','200','11.8','49','2'
BraylenWalker,RICE,'WR','13','200','15.4','36','2'
NakiaWatson,WSU,'RB','18','199','11.1','37','2'
DanteCephas,PSU,'WR','17','199','11.7','26','2'
KaelonBlack,JMU,'RB','20','199','9.9','34','3'
ChristianFitzpatrick,MSU,'WR','12','198','16.5','72','1'
KendallKarr,CCU,'TE','15','198','13.2','32','3'
JordanDingle,UK,'TE','11','198','18.0','59','0'
De'ZhaunStribling,OKST,'WR','14','198','14.1','30','1'
DavisPatterson,NIU,'WR','16','197','12.3','28','0'
TreyBenson,FSU,'RB','16','197','12.3','80','1'
KaireeRobinson,SJSU,'RB','16','197','12.3','63','2'
JackWestover,WASH,'TE','21','196','9.3','21','4'
MaxKlare,PUR,'TE','22','196','8.9','27','0'
RonCookJr.,BUFF,'RB','23','195','8.5','26','1'
JohnJacksonIII,NEV,'WR','24','195','8.1','33','0'
KeelanMarion,BYU,'WR','16','195','12.2','37','0'
TerrellTimmonsJr.,NCSU,'WR','11','195','17.7','47','0'
DuaneThomasJr.,CLT,'WR','18','195','10.8','51','0'
GinoCampiotti,MASS,'TE','15','194','12.9','21','1'
DueceJones,UNM,'WR','8','194','24.3','78','1'
CooperMathers,WSU,'TE','14','194','13.9','39','0'
JordinParker,NMSU,'WR','4','194','48.5','63','3'
JacariCarter,GAST,'WR','27','193','7.1','23','0'
ZachHorton,JMU,'TE','16','193','12.1','66','4'
LandonSides,UNT,'WR','20','193','9.6','39','1'
McCallanCastles,TENN,'TE','15','192','12.8','43','3'
AJBarner,MICH,'TE','17','192','11.3','22','1'
AntonioWilliams,CLEM,'WR','17','192','11.3','33','2'
JadonJackson,KSU,'WR','15','191','12.7','40','2'
TyrinSmith,UTEP,'WR','19','191','10.1','24','1'
JulianFleming,OSU,'WR','19','190','10.0','37','0'
MichaelWiley,ARIZ,'RB','20','190','9.5','40','2'
MaliqueDieudonne,WMU,'WR','19','190','10.0','39','0'
XavierTownsend,UCF,'WR','20','190','9.5','32','2'
OctavianSmithJr.,MD,'WR','20','190','9.5','31','1'
ElijahSmoot,LIB,'WR','9','190','21.1','42','2'
NolanQuinlan,ULM,'TE','14','189','13.5','41','1'
EliWilson,APP,'TE','20','189','9.4','32','3'
LukeFloriea,KENT,'WR','18','189','10.5','43','3'
KahleilJackson,FLA,'WR','16','189','11.8','45','1'
AlexAdams,AKR,'WR','22','188','8.5','29','2'
JohnCopenhaver,UNC,'TE','10','188','18.8','40','3'
JimmyHoliday,WKU,'WR','14','188','13.4','38','1'
JohnGentry,SHSU,'RB','26','188','7.2','56','2'
SamRoush,STAN,'TE','19','188','9.9','27','0'
JadenWilliams,BC,'WR','12','188','15.7','47','1'
DylanWright,TCU,'WR','11','187','17.0','36','2'
JimmyCalloway,LOU,'WR','14','187','13.4','34','0'
CarsenRyan,UCLA,'RB','11','186','16.9','45','3'
WillKacmarek,OHIO,'TE','16','186','11.6','36','2'
BryceDamous,UAB,'TE','21','186','8.9','29','3'
BrandonChatman,NAVY,'RB','11','186','16.9','58','0'
JosiahFreeman,FRES,'WR','15','186','12.4','29','0'
IsaiahWashington,RUTG,'WR','16','185','11.6','24','1'
DJEngland-Chisolm,MTSU,'WR','18','185','10.3','36','2'
SamarioRudolph,UAB,'WR','22','183','8.3','18','1'
MontanaLemonious-Craig,ARIZ,'WR','20','183','9.1','39','2'
TorranceBurgessJr.,UTEP,'RB','14','183','13.1','51','0'
CalebMcMillan,MRSH,'WR','11','182','16.5','75','1'
JesiahIrish,ORST,'WR','10','182','18.2','38','1'
AhmareanBrown,SC,'WR','18','182','10.1','44','0'
RyanDavis,UNM,'WR','14','182','13.0','41','1'
RJGarciaII,KSU,'WR','13','182','14.0','44','1'
