Player,School,POS,SOLO,AST,TOT,SACK,YDS,PD,INT,LNG,TD,FF
Christian Helms,USF,['WR'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Nicholas Marino,FAU,['LS'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Matthew Hayball,VAN,['P'],['1'],['0'],['1'],['0.0'],['3'],['0'],['0'],['0'],['0'],['0']
Tucker Dunn,BALL,['LS'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Keegan Shoemaker,SHSU,['QB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Kacper Rutkiewicz,NIU,['WR'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Tyrik McDaniel,IU,['DB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Leroy Thomas,WMU,['WR'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Dillon Luther,CCU,['OL'],['1'],['0'],['1'],['0.0'],['1'],['0'],['0'],['0'],['0'],['0']
Cameron Carson,MASS,['PK'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
George Eberle,NMSU,['P'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Evan Davis,BUFF,['LS'],['0'],['1'],['1'],['0.0'],['40'],['0'],['0'],['0'],['0'],['0']
Marlyn Johnson,BUFF,['WR'],['1'],['0'],['1'],['0.0'],['19'],['0'],['0'],['0'],['0'],['0']
Tanner Pollock,IOWA,['LB'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Griffin Kell,TCU,['PK'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Jake Springfield,OKST,['OL'],['0'],['1'],['1'],['0.0'],['17'],['0'],['0'],['0'],['0'],['0']
Kyrese Rowan,USU,['WR'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Marquez Tatum,FIU,['DL'],['1'],['0'],['1'],['1.0'],['0'],['0'],['0'],['0'],['0'],['0']
Jeremy James,MISS,['OL'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Da'Quan Felton,VT,['WR'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Ben Schultz,ILL,['TE'],['0'],['1'],['1'],['0.0'],['2'],['0'],['0'],['0'],['0'],['0']
Davion Ervin-Poindexter,WKU,['RB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Scott Payne,MTSU,['PK'],['0'],['1'],['1'],['0.0'],['14'],['0'],['0'],['0'],['0'],['0']
Logan Lupo,FAU,['P'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Tyler Crowe,BOIS,['RB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Charlie Norman,ULM,['RB'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Jamison Kelly,IU,['DB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Alex Harper,ECU,['S'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
R.J. Sorensen,LOU,['DL'],['0'],['1'],['1'],['0.0'],['11'],['0'],['0'],['0'],['0'],['0']
Seamus O'Kelly,TXST,['P'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Cody Winokur,ARMY,['DL'],['0'],['1'],['1'],['0.0'],['3'],['0'],['0'],['0'],['0'],['0']
Veshe Daniyan,ARMY,['WR'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Chris Freeman,IU,['PK'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Jacob Garcia,USU,['LS'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Tristan Wells,JVST,['LB'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Ryan Coe,UNC,['PK'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Jordan Younge-Humphrey,UNLV,['RB'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Tom Callahan,SYR,['LS'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Ben Farrell,PUR,['OL'],['1'],['0'],['1'],['0.0'],['4'],['0'],['0'],['0'],['0'],['0']
Matthew Salansky,TENN,['LS'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Jasper Parks,CLT,['OL'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Cam'Ron Valdez,TTU,['RB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Zavion Reese,SJSU,['DB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Terry Berdin Jr.,GAST,['RB'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Caleb Tiernan,NU,['OL'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Tyrin Taylor,MEM,['DB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Jaylen Johnson,MEM,['DB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Chandler Pittman,USM,['RB'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Donaven McCulley,IU,['WR'],['1'],['0'],['1'],['0.0'],['13'],['0'],['0'],['0'],['0'],['0']
AJ Green,ARK,['RB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
CJ Dippre,ALA,['TE'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Keshon Griffin,RUTG,['DL'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Austin Smith,EMU,['QB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Tailique Williams,GAST,['WR'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Devin Aupiu,UCLA,['DL'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Braylon Braxton,TLSA,['QB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Jakiah Leftwich,GT,['OL'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Montorie Foster Jr.,MSU,['WR'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Trey Cooley,GT,['RB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Ru'Quan Buckley,NEB,['DL'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Peyton Higgins,TROY,['WR'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
DJ Justice,UCLA,['DB'],['1'],['0'],['1'],['1.0'],['0'],['0'],['0'],['0'],['0'],['0']
Derwin Burgess Jr.,GASO,['WR'],['1'],['0'],['1'],['0.0'],['10'],['0'],['0'],['0'],['0'],['0']
Mark Petry,SYR,['OL'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Tyler Wegis,BOIS,['DE'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Alante Brown,MSU,['WR'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Jehlen Cannady,TLSA,['S'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['1']
Rivaldo Fairweather,AUB,['TE'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Seth Henigan,MEM,['QB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Demie Sumo-Karngbaye,UK,['RB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Victor Konopka,RUTG,['TE'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Delmar Glaze,MD,['OL'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
James Johnson Jr.,CCU,['DL'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Malik Sherrod,FRES,['RB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Mitch Jeter,SC,['PK'],['0'],['1'],['1'],['0.0'],['35'],['0'],['0'],['0'],['0'],['0']
Khalib Gilmore,SYR,['LB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Wesley Horton,WKU,['OL'],['1'],['0'],['1'],['0.0'],['2'],['0'],['0'],['0'],['0'],['1']
Caleb Driskill,WYO,['FB'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Tyson Mobley,CCU,['WR'],['1'],['0'],['1'],['0.0'],['18'],['0'],['0'],['0'],['0'],['0']
Malik Williams,SJSU,['OL'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Kyle Monangai,RUTG,['RB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Shedrick Rhodes Jr.,OHIO,['OL'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Ethan Duane,ODU,['P'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Brandon Guzman,CSU,['DB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Miles Frazier,LSU,['OL'],['0'],['1'],['1'],['0.0'],['9'],['0'],['0'],['0'],['0'],['0']
Parker Navarro,OHIO,['QB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Holden Willis,MTSU,['WR'],['1'],['0'],['1'],['0.0'],['21'],['0'],['0'],['0'],['0'],['0']
Waisale Muavesi,UNLV,['DL'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Xavier Spencer,UTSA,['CB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Osaiasi Taueli,UTEP,['DE'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Logan Wilson,WMU,['DL'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Nate Noel,APP,['RB'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Quentin Skinner,KU,['WR'],['1'],['0'],['1'],['0.0'],['4'],['0'],['0'],['0'],['0'],['0']
Garrett Bishop,NMSU,['DT'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Jamaal Bell,NEV,['WR'],['0'],['1'],['1'],['0.0'],['13'],['0'],['0'],['0'],['0'],['0']
Taylon Doss,ARST,['S'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Malachi Corley,WKU,['WR'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Xavier Simmons,UTEP,['LB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Bobby Wooden,UNM,['S'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Will Benton IV,SMU,['LS'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Tyrion Ingram-Dawkins,UGA,['DL'],['1'],['0'],['1'],['1.0'],['0'],['0'],['0'],['0'],['0'],['1']
Keon Coleman,FSU,['WR'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Myles Montgomery,CIN,['RB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Jonathon Brooks,TEX,['RB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Jimmy Wyrick,STAN,['S'],['1'],['0'],['1'],['0.0'],['0'],['1'],['0'],['0'],['0'],['0']
Cameron Bonner,BAY,['WR'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Da'Wain Lofton,VT,['WR'],['1'],['0'],['1'],['0.0'],['14'],['0'],['0'],['0'],['0'],['0']
Cam Davis,SDSU,['RB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
De'Shawn Rucker,TENN,['DB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Malik McClain,PSU,['WR'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Nicholas Vattiato,MTSU,['QB'],['1'],['0'],['1'],['0.0'],['9'],['0'],['0'],['0'],['0'],['0']
Caleb Tubbs,M-OH,['DB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Trey Urwiler,NIU,['WR'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Josh McCray,ILL,['RB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Logan Taylor,BC,['OL'],['1'],['0'],['1'],['0.0'],['15'],['0'],['0'],['0'],['0'],['0']
Xavier Worthy,TEX,['WR'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Isaiah Sillemon,UNM,['OL'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Will Pauling,WIS,['WR'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Khordae Sydnor,PUR,['LB'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Myles Alston,ODU,['WR'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Chris Parker,CMU,['WR'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Chris Wright,UNT,['DL'],['0'],['1'],['1'],['0.0'],['37'],['0'],['0'],['0'],['0'],['0']
Mitchell Evans,ND,['TE'],['1'],['0'],['1'],['0.0'],['16'],['0'],['0'],['0'],['0'],['0']
Demarco Cuffey,BUFF,['CB'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Erik Russell,WAKE,['OL'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Tanner Arkin,ILL,['TE'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Charles Arnold Jr.,CCU,['S'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
James Evans,IU,['P'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Jordan Eubanks,UNLV,['LB'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Eni Falayi,MASS,['TE'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Zuberi Mobley,FAU,['RB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Nate Pabst,BGSU,['OT'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Jesse Mirco,OSU,['P'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Jatavious Magee,SDSU,['S'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Evan Graham,GAST,['LB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Zachary Barlev,ILL,['OL'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Jacob Coleman,MTSU,['WR'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Garrett DiGiorgio,UCLA,['OL'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Julian Neal,FRES,['DB'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Olasunkonmi Agunloye,UVA,['DT'],['0'],['1'],['1'],['0.5'],['26'],['0'],['0'],['0'],['0'],['0']
Sackett Wood Jr.,UVA,['TE'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Noah Taliancich,TULN,['DL'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Josh Remetich,TULN,['OL'],['1'],['0'],['1'],['0.0'],['21'],['0'],['0'],['0'],['0'],['1']
Rashad Green,TULN,['OL'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Kamdyn Benjamin,TLSA,['WR'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Matt McCabe,NCSU,['OL'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Christopher Scott Jr.,NCSU,['WR'],['0'],['1'],['1'],['0.0'],['21'],['0'],['0'],['0'],['0'],['0']
DJ Herman,SDSU,['LB'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Matt Freem,NEV,['P'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Micah Lilo,NEV,['LB'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
JP Richardson,TCU,['WR'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Matthew Merritt,STAN,['DL'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Jeremiah Alexander,ALA,['LB'],['0'],['1'],['1'],['0.0'],['14'],['0'],['0'],['0'],['0'],['0']
Jaydon Blue,TEX,['RB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Kevin Coleman,LOU,['WR'],['1'],['0'],['1'],['0.0'],['18'],['0'],['0'],['0'],['0'],['0']
Tyson Ford,ND,['DL'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Tre'Quon Fegans,USC,['CB'],['0'],['1'],['1'],['0.0'],['3'],['0'],['0'],['0'],['0'],['0']
Maurion Horn,TTU,['DB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Anthony Hankerson,COLO,['RB'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Jordan James,ORE,['RB'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Austin Jordan,TEX,['DB'],['0'],['1'],['1'],['0.0'],['3'],['0'],['1'],['0'],['0'],['0']
Kody Jones,MICH,['DB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Kendrick Law,ALA,['WR'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Tetairoa McMillan,ARIZ,['WR'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Cyrus Moss,MIA,['DL'],['0'],['1'],['1'],['0.0'],['6'],['0'],['0'],['0'],['0'],['0']
Dishawn Misa,BOIS,['LB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Bugs Mortimer,ULM,['WR'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Shawn Murphy,ALA,['LB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Jayden Sauray,MD,['QB'],['1'],['0'],['1'],['0.0'],['3'],['0'],['0'],['0'],['0'],['0']
Caden Story,CLEM,['DT'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Tevin White,ASU,['RB'],['1'],['0'],['1'],['0.0'],['12'],['0'],['0'],['0'],['0'],['0']
Sioape Vatikani,CAL,['OL'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Kamari Wilson,FLA,['S'],['0'],['1'],['1'],['0.0'],['6'],['0'],['0'],['0'],['0'],['0']
Nick Turner,TOL,['CB'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Jordan Johnson,HAW,['RB'],['1'],['0'],['1'],['0.0'],['8'],['0'],['0'],['0'],['0'],['0']
James Jointer Jr.,LIB,['RB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
CJ Doggette,CIN,['DE'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Timar Rogers,MTSU,['LB'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Kenneth Harris,OKST,['CB'],['1'],['0'],['1'],['0.0'],['1'],['0'],['0'],['0'],['0'],['0']
Gharin Stansbury,ASU,['DL'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Devin Mockobee,PUR,['RB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Chance Tucker,ND,['CB'],['1'],['0'],['1'],['0.0'],['13'],['0'],['0'],['0'],['0'],['0']
Seth Williams,APP,['OL'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Nate Boerkircher,NEB,['TE'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Ashton Hausmann,NEB,['DB'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Grant Tagge,NEB,['LB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Braden Smith,CIN,['WR'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Rocco Underwood,FLA,['LS'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Isaiah Johnson,UNT,['RB'],['0'],['1'],['1'],['0.0'],['6'],['0'],['0'],['0'],['0'],['0']
Mike Washington,BUFF,['RB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Gunnar Helm,TEX,['TE'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Blake Ochsendorf,LT,['P'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Chris Carpenter,UTSA,['WR'],['0'],['1'],['1'],['0.0'],['9'],['0'],['0'],['0'],['0'],['0']
Shaadie Clayton-Johnson,TULN,['RB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Montana Lemonious-Craig,ARIZ,['WR'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Keion Battle,ILL,['WR'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Tory Taylor,IOWA,['P'],['1'],['0'],['1'],['0.0'],['12'],['0'],['0'],['0'],['0'],['0']
Cole Motes,USU,['OL'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['1']
Falepule Alo,USU,['OL'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Rickey Smith,MTSU,['S'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Tobechi Okoli,ISU,['DE'],['0'],['1'],['1'],['0.0'],['9'],['0'],['0'],['0'],['0'],['0']
Jovan Marsh,WYO,['DB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Jordan Bly,ODU,['WR'],['1'],['0'],['1'],['0.0'],['1'],['0'],['0'],['0'],['0'],['0']
Stephon Dubose-Bourne,ODU,['OL'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Jack Witmer,UVA,['OT'],['1'],['0'],['1'],['0.0'],['3'],['0'],['0'],['0'],['0'],['0']
Austin Riggs,BYU,['LS'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Jake Arthurs,NU,['RB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Will Halkyard,NU,['LS'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Matt Lauter,BOIS,['TE'],['1'],['0'],['1'],['0.0'],['3'],['0'],['0'],['0'],['0'],['0']
Brandon Thomas,MEM,['RB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Caden Prieskorn,MISS,['TE'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Dominic Oliver,SDSU,['DL'],['1'],['0'],['1'],['1.0'],['0'],['0'],['0'],['0'],['0'],['0']
Reed Hughes,AUB,['LS'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Demarcus Smith,MISS,['DT'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Kilinahe Mendiola-Jensen,HAW,['DB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Jonny King,CLT,['OL'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Eddie Ogle,LIB,['WR'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Reese Burkhardt,TTU,['PK'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Laine Wilkins,HOU,['P'],['1'],['0'],['1'],['0.0'],['3'],['0'],['0'],['0'],['0'],['0']
Ty Robinson,BALL,['WR'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Steven Hubbard,UTEP,['OL'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Daniel Sparks,UVA,['P'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Rasheen Ali,MRSH,['RB'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Johnny Richardson,UCF,['RB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
BJ Alexander,FAU,['WR'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Sam Edwards,MSU,['LB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Jared Lawrence,MISS,['LS'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Wyatt Crespi,WAKE,['DL'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
John Peterson III,WAKE,['DB'],['0'],['1'],['1'],['0.0'],['6'],['0'],['0'],['0'],['0'],['0']
Barak Faulk,CIN,['TE'],['0'],['1'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Ty Moss,ECU,['DB'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
Will Parker,UAB,['OL'],['1'],['0'],['1'],['0.0'],['0'],['0'],['0'],['0'],['0'],['0']
