Player,School,POS,ATT,YDS,AVG,LNG,TD
KeeganJones,UCLA,'WR','8','96','12.0','22','2'
JordanHouston,NCSU,'RB','25','96','3.8','15','0'
JordanYounge-Humphrey,UNLV,'RB','12','96','8.0','32','1'
RicoBarfield,BALL,'RB','25','96','3.8','24','1'
AustinSmith,EMU,'QB','80','96','1.2','41','1'
JustinLynch,NIU,'RB','11','96','8.7','30','1'
SeanJackson,AUB,'RB','6','95','15.8','45','1'
JustinJohnsonJr.,WVU,'RB','29','95','3.3','30','1'
AJBianco,NEV,'QB','26','95','3.7','19','1'
JaydenLimar,ORE,'RB','19','95','5.0','21','1'
CJHester,WMU,'RB','22','95','4.3','29','2'
AustinReed,WKU,'QB','33','93','2.8','26','3'
NoahCain,LSU,'RB','22','93','4.2','15','3'
NoahSmith,SHSU,'WR','21','93','4.4','25','2'
JalenBerger,MSU,'RB','25','93','3.7','12','1'
AnthonySimpson,MASS,'WR','11','93','8.5','17','1'
ZachHrbacek,SHSU,'RB','37','93','2.5','10','0'
TylanHines,HAW,'RB','27','93','3.4','18','0'
KamariMoulton,IOWA,'RB','23','93','4.0','18','2'
BrashardSmith,MIA,'WR','6','92','15.3','80','0'
BarionBrown,UK,'WR','7','92','13.1','26','0'
TahjBullock,AKR,'QB','38','91','2.4','27','2'
TreyHolly,LSU,'RB','6','91','15.2','67','1'
AlexFlinn,ECU,'QB','66','90','1.4','18','0'
CedricHawkins,ARST,'RB','17','90','5.3','28','0'
DomoniqueThomas,CLEM,'RB','14','90','6.4','19','1'
EliStowers,NMSU,'QB','15','89','5.9','26','1'
Ay'JaunMarshall,ARMY,'WR','6','89','14.8','36','0'
JensenJones,AFA,'QB','14','89','6.4','14','2'
RoderickRobinsonII,UGA,'RB','15','89','5.9','23','2'
Sy'veonWilkerson,COLO,'RB','26','88','3.4','10','1'
NasjzaeBryant-Lelei,HAW,'RB','25','88','3.5','17','0'
XavierArline,NAVY,'QB','31','87','2.8','19','1'
HarrisonBarker,UAB,'QB','15','87','5.8','12','0'
DjouvenskySchlenbaker,WSU,'RB','19','87','4.6','20','0'
SilasBolden,ORST,'WR','8','86','10.8','45','2'
FernandoMendoza,CAL,'QB','23','86','3.7','16','2'
